price_date,ticker,price,price_std
2016-08-03,DRI,60.72,1.0267
2016-09-26,DRI,62.47,0.5838
2016-09-29,DRI,60.63,0.7087
2016-10-27,DRI,61.52,0.6689
2016-11-22,DRI,74.0,3.6749
2016-12-01,DRI,75.79,1.412
2017-01-31,DRI,73.28,0.3765
2017-03-06,DRI,74.68,0.7054
2017-03-07,DRI,74.51,0.716
2017-03-08,DRI,75.18,0.7093
2017-03-17,DRI,76.66,0.6495
2017-03-20,DRI,76.86,0.796
2017-05-08,DRI,87.08,1.3666
2017-05-18,DRI,86.45,0.9345
2017-06-01,DRI,90.09,1.2168
2017-07-11,DRI,89.3,1.264
2017-07-12,DRI,89.61,1.1552
2017-07-14,DRI,88.95,1.1888
2017-07-19,DRI,89.86,0.8895
2017-08-16,DRI,84.39,0.961
2017-08-22,DRI,85.3,1.1338
2017-08-29,DRI,82.64,0.9445
2017-08-30,DRI,82.88,0.9179
2017-09-14,DRI,83.2,2.2981
2017-09-21,DRI,83.06,2.3801
2017-10-17,DRI,81.56,0.7578
2017-10-30,DRI,82.77,1.431
2018-01-11,DRI,97.6,1.1803
2018-01-22,DRI,98.06,0.9068
2013-03-07,DTE,66.49,0.9824
2013-03-28,DTE,68.34,0.5941
2013-06-07,DTE,67.51,1.8953
2013-06-13,DTE,67.04,0.623
2013-06-21,DTE,64.67,1.0267
2013-07-05,DTE,65.77,1.0491
2013-07-11,DTE,68.74,1.1377
2013-07-12,DTE,68.99,1.258
2013-08-13,DTE,69.92,0.5287
2013-08-15,DTE,68.46,0.856
2013-08-27,DTE,67.2,1.5765
2013-09-16,DTE,65.91,0.7153
2013-09-27,DTE,66.06,0.7884
2013-09-30,DTE,65.98,0.8147
2013-10-04,DTE,65.07,0.9363
2013-11-26,DTE,67.19,0.6415
2013-11-29,DTE,66.74,0.9027
2013-12-10,DTE,66.63,0.8918
2013-12-20,DTE,66.61,0.7246
2014-01-07,DTE,65.76,0.5713
2014-01-14,DTE,66.17,0.5684
2014-01-15,DTE,65.67,0.5275
2014-02-07,DTE,67.89,0.8116
2014-03-11,DTE,69.94,0.7702
2014-03-17,DTE,71.98,0.6218
2014-03-19,DTE,70.65,0.6508
2014-04-16,DTE,77.18,1.0218
2014-04-21,DTE,76.18,0.9485
2014-04-24,DTE,77.15,0.9855
2014-05-22,DTE,75.15,1.4746
2014-06-06,DTE,76.24,0.7403
2014-06-17,DTE,74.97,0.8081
2014-06-25,DTE,78.04,1.4373
2014-08-08,DTE,74.72,1.7892
2014-08-19,DTE,77.24,1.5657
2014-09-04,DTE,77.75,0.6088
2014-10-02,DTE,76.27,0.4141
2014-10-10,DTE,78.73,1.1606
2014-10-16,DTE,76.88,1.2137
2014-10-28,DTE,81.2,1.3195
2014-12-09,DTE,83.31,0.9615
2014-12-12,DTE,81.89,0.8907
2014-12-19,DTE,85.75,1.2896
2015-01-06,DTE,86.03,2.0607
